Name,Latitude,Longitude,Bot_Depth,Chl_su,PAR_su,SST_su,Chl_au,PAR_au,SST_au,Chl_win,PAR_win,SST_win,Chl_sp,PAR_sp,SST_sp
St2237,19.791666,120.375,-3931,0.098399997,45.83385086,29.75049591,0.295159996,31.87804031,27.59248543,0.337819993,32.65386963,25.53129578,0.113150001,48.44451141,28.31971169
St2238,19.791666,120.625,-3695,0.100660004,46.13599014,29.77487946,0.274610013,32.17306137,27.56093025,0.304899991,32.29365921,25.6223793,0.135130003,48.68355942,28.42083549
St2239,19.791666,120.791664,-2036,0.098219998,46.15169144,29.7798996,0.323089987,31.87919998,27.62404251,0.306879997,32.42401886,25.67186546,0.147640005,48.84978867,28.47103882
St2240,19.791666,121.041664,-1816,0.101350002,46.51066971,29.72396088,0.261130005,31.63537979,27.59679031,0.388660014,32.14572144,25.60014725,0.150959998,48.63986969,28.36919785
St2241,19.958334,110.041664,-1,5.41561985,41.07535172,29.74117279,4.082890034,30.27140999,26.15740013,,27.16489983,20.67810631,,41.90589142,26.3625145
St2242,19.958334,110.208336,167,,,,,,,,,,,,
St2243,19.958334,110.375,91,,,,,,,,,,,,
St2244,19.958334,110.625,-1,,39.9710083,31.45667839,,27.85935974,28.92143059,,24.30797005,27.0302124,,38.20360184,28.61519241
St2245,19.958334,110.791664,-1,,,,,,,,,,,,
St2246,19.958334,111.041664,-2,2.083039999,44.63125992,28.70842552,2.202660084,29.24976921,25.97666931,1.649279952,26.40273094,20.73117828,1.687849998,42.58473969,25.66612816
St2247,19.958334,111.208336,-50,0.610430002,46.00365067,28.94939995,1.164049983,29.59147072,26.17891502,0.871710002,27.16817093,21.40676498,0.60552001,44.48445129,25.86550522
St2248,19.958334,111.375,-68,0.283250004,46.15636826,29.22623444,0.495979995,29.46244049,26.3625145,0.598689973,27.58111954,21.86289597,0.340259999,45.27518845,26.00105286
St2249,19.958334,111.625,-78,0.151260003,45.79322052,29.33811378,0.248109996,29.60762024,26.49591064,0.31832999,27.72139931,22.35560226,0.19258,45.19448853,26.52101135
St2250,19.958334,111.791664,-80,0.137789994,45.3142395,29.40122604,0.245429993,29.71702957,26.57336617,0.31013,27.8593502,22.56645393,0.14452,45.35808182,26.48658752
St2251,19.958334,112.041664,-84,0.111919999,44.86388016,29.39405441,0.222920001,30.20178986,26.55041695,0.264479995,28.15084076,22.7443161,0.121919997,44.87765884,26.82509804
St2252,19.958334,112.208336,-87,0.111149997,44.78929901,29.46720695,0.187710002,29.87368011,26.64006424,0.262030005,28.4444294,22.80025673,0.129010007,44.9696312,26.58699226
St2253,19.958334,112.375,-90,0.113250002,44.61682892,29.32663918,0.153099999,29.94658089,26.65799522,0.249160007,28.61836052,22.93723869,0.122079998,45.31182861,26.59631729
St2254,19.958334,112.625,-92,0.108099997,44.74560928,29.32735634,0.171189994,29.97504044,26.68237877,0.253230006,28.68384933,23.00537109,0.11789,44.76507187,26.50810242
St2255,19.958334,112.791664,-101,0.108900003,45.18896103,29.36608505,0.170420006,30.24204063,26.75696564,0.249129996,28.83926964,23.0598774,0.111639999,44.28013992,26.43781853
St2256,19.958334,113.041664,-113,0.11411,45.22816849,29.37612534,0.169870004,30.06825066,26.81577492,0.263229996,28.41659927,23.17319298,0.118819997,44.95948029,26.54252815
St2257,19.958334,113.208336,-133,0.115510002,44.83853149,29.39764023,0.168669999,30.2354908,26.83155251,0.307339996,28.71594048,23.17893028,0.125080004,45.04634094,26.55543709
St2258,19.958334,113.375,-166,0.113349997,44.86965179,29.34672165,0.162410006,29.91538048,27.02519226,0.296959996,28.93120003,23.28794289,0.116300002,44.94871902,26.59344673
St2259,19.958334,113.625,-181,0.11197,44.58248138,29.41485405,0.186149999,29.81831932,26.95275688,0.273090005,28.8386097,23.40484238,0.121009998,45.30804062,26.6020546
St2260,19.958334,113.791664,-226,0.110040002,44.59793854,29.44282341,0.148359999,29.67025948,27.01873779,0.355780005,29.27441025,23.36611557,0.116020001,45.46746826,26.64723587
St2261,19.958334,114.041664,-256,0.106380001,45.32342911,29.52458191,0.149680004,29.72702026,26.81434059,0.313739985,29.03528976,23.41990471,0.116659999,45.11302948,26.76700592
St2262,19.958334,114.208336,-390,0.115599997,45.50286102,29.53318977,0.136199996,29.94334984,26.87960434,0.297019988,28.77075958,23.47297668,0.116439998,44.99840927,26.74262238
St2263,19.958334,114.375,-207,0.113140002,45.38497925,29.46935844,0.137840003,29.48580933,26.84446144,0.306580007,28.89460945,23.50022888,0.117579997,45.14673996,26.75122833
St2264,19.958334,114.625,-209,0.113509998,45.79515839,29.55900764,0.139019996,29.93498039,26.90040207,0.277509987,29.0562706,23.61856461,0.129789993,45.38360977,26.76700592
St2265,19.958334,114.791664,-407,0.112740003,45.68347168,29.57191658,0.124279998,30.12553024,26.83011818,0.30904001,29.14525986,23.64868546,0.118050002,45.4589386,26.81649208
St2266,19.958334,115.041664,-600,0.111489996,45.76100922,29.60203934,0.132939994,29.43401909,26.9348278,0.279439986,29.3062706,23.71466637,0.106969997,45.23617935,26.97068787
St2267,19.958334,115.208336,-701,0.105149999,45.21839142,29.58625984,0.15467,28.98848915,26.98287964,0.271649987,29.30514908,23.69817162,0.113650002,45.09415817,26.96781731
St2268,19.958334,115.375,-806,0.10097,44.95177841,29.65439224,0.151700005,29.27845001,26.88390732,0.272570014,29.49080086,23.72255707,0.125400007,45.75730896,26.83585548
St2269,19.958334,115.625,-997,0.102729999,45.60454941,29.56904793,0.142480001,29.10720062,27.07037544,0.275579989,29.17243958,23.75626373,0.118100002,45.54502869,26.99076843
St2270,19.958334,115.791664,-1191,0.101860002,45.65298843,29.58554268,0.142120004,29.06788063,26.99291992,0.262340009,29.16917992,23.78064728,0.120470002,45.62561035,26.84661484
St2271,19.958334,116.041664,-1197,0.102030002,45.31113815,29.56115913,0.144429997,29.04483032,27.08041573,0.253809988,29.47974968,23.9147625,0.121540003,45.95708084,27.0926075
St2272,19.958334,116.208336,-1265,0.094059996,45.88806152,29.61494827,0.158710003,29.41765976,27.12273026,0.255470008,29.79162025,23.91117668,0.112829998,46.02635956,27.0302124
